Frequency_Hz,Real_Z,Imag_Z
0.001,35.0611015720761,-28.2667859909039
0.00126313356397684,33.769636618831,-24.2085552758275
0.00159550640044483,32.4626587437036,-21.0778521254426
0.00201533768594173,31.0771711741073,-18.6526899893033
0.00254564067386042,29.5876921036806,-16.7259035424428
0.00321548417697771,28.0097313475483,-15.114156753713
0.00406158598837698,26.4003465795371,-13.6731760561634
0.005130325584897,24.8429636356923,-12.3180251814
0.00648028644041251,23.4134859370081,-11.0281390800869
0.00818546730706903,22.1501575424724,-9.82410874737817
0.010339338492394,21.0497211718129,-8.7321131405427
0.0130599654790605,20.0864041810613,-7.76145423881407
0.0164964807409802,19.2336298325521,-6.90365392281201
0.0208372585114296,18.473889021907,-6.14332289143519
0.0263202406070488,17.7967961418008,-5.46708479226184
0.0332459793227094,17.1941314937627,-4.86521684770818
0.0419941123497942,16.6579245720949,-4.32978029210889
0.0530441727984393,16.1807907490533,-3.85356134592995
0.0670018750350959,15.7561936792543,-3.43006015478843
0.0846323172062114,15.3783376188617,-3.0535121467688
0.1069019204603,15.0420622287439,-2.71880390854264
0.135031403786987,14.7427745561135,-2.42140031259527
0.170562698314253,14.4763867379172,-2.15728519050751
0.215443469003188,14.2392599950391,-1.92290897278435
0.272133876837531,14.0281548143965,-1.71514334527119
0.343741433728624,13.8401865049744,-1.53124248691536
0.434191342272145,13.6727854858784,-1.36881056685137
0.548441657612102,13.5236616983376,-1.22577532668636
0.692755065612939,13.3907725521625,-1.10036772501268
0.87504217499068,13.2722938053736,-0.991107789034044
1.10529514112602,13.1665927207181,-0.896797007271267
1.39613539085679,13.0722027234317,-0.816517812520127
1.76350547204714,12.9877985670261,-0.749640948779797
2.22754295199956,12.9121706444337,-0.69584178826347
2.81368426787069,12.8441964760624,-0.655126952233961
3.55405903718106,12.7828064325893,-0.627872855368106
4.4892512582186,12.7269392063798,-0.61487794981983
5.67052394138117,12.6754801271436,-0.617430300389856
7.16262911569278,12.6271716849984,-0.637391276651895
9.04735724234929,12.5804799859514,-0.677293794295071
11.4280205981003,12.533392644834,-0.740448088712271
14.4351163872792,12.4831123847366,-0.831036431345216
18.2334800086844,12.4255971905799,-0.954154980520535
23.03132058707,12.3548870609395,-1.11571675240849
29.0916340562388,12.2621643319125,-1.32205094582868
36.7466194073669,12.1345574157175,-1.57890791947833
46.4158883361278,11.953897227691,-1.88941815951214
58.629466459164,11.6961016230703,-2.25046441783729
74.0568469226244,11.3326879311211,-2.64724851701373
93.5436889902616,10.8367796252101,-3.04723447507426
118.15817326181,10.1954265448835,-3.39760325936607
149.249554505183,9.42556668144305,-3.6331271345995
188.522121704087,8.58284040394185,-3.69814516372175
238.128619476559,7.75018042725961,-3.5732267607782
300.78825180431,7.00757356835409,-3.2860722705949
379.935736503941,6.4038256534723,-2.8966178016172
479.909580932388,5.94903721162028,-2.46961731944183
606.189899349757,5.62585568874315,-2.05463385351016
765.69880801242,5.40563167657732,-1.68040790700642
967.179864297544,5.25983997317153,-1.35860640934384
1221.67734899679,5.16516926251049,-1.09014584434986
1543.14166386809,5.10446644131345,-0.870459276062641
1949.19402960285,5.06586042208794,-0.692868050630212
2462.09240149463,5.04143582191686,-0.550410351701452
3109.9515499402,5.02603482356135,-0.436690973209365
3928.28418507125,5.01634432822116,-0.346190720432361
4961.94760300291,5.0102552129338,-0.274307803427229
6267.60256004739,5.00643236945776,-0.217281747720159
7916.81915926302,5.00403365799737,-0.172076526048635
10000,5.00252908122849,-0.136259068389826
